Name,OI (100),Score,Rank,New_OI (100),Pred_Score,Pred_New_Score,Pred_Rank,Pred_New_Rank
Indian Institute of Technology Madras,63.59,86.69,1,73.59,88.04088047806049,92.04434435437001,1.2314183392519773,0.237362007409039
Indian Institute of Science,59.23,83.09,2,69.22999999999999,83.13411544019654,84.03742447042015,2.6171259610414705,1.8846252307240752
Indian Institute of Technology Delhi,70.32,82.16,3,80.32,81.97831276258107,88.08669820683556,2.769320446427265,-0.5708587154008625
Indian Institute of Technology Bombay,58.76,81.28,4,68.75999999999999,81.78403879181529,81.18800087063039,3.3646269029970695,2.1060876150780383
Indian Institute of Technology Kanpur,60.24,77.23,5,70.24000000000001,78.89615318324536,80.51435782671152,7.365019309488264,3.51171912854063
"All India Institute of Medical Sciences, Delhi",72.72,72.14,6,82.72,72.3309423677712,79.91740170265679,6.070339623442631,7.017180240445536
Indian Institute of Technology Kharagpur,57.44,71.82,7,67.44,71.58431114644053,69.6478378786576,7.177028781332382,4.96772101828831
Indian Institute of Technology Roorkee,62.8,71.66,8,72.8,71.61832236300874,73.54404688894077,7.825070666596232,3.1456972151811806
Indian Institute of Technology Guwahati,58.3,68.78,9,68.3,68.75922886642103,69.38826046720983,9.344846862013343,6.353959599574189
Jawaharlal Nehru University,73.64,67.44,10,83.64,67.59466849877226,70.71352613520504,10.05487830916488,9.214216251536904
Banaras Hindu University,61.5,67.21,11,71.5,69.48423453389657,69.20073388248471,12.976583031180349,12.193521759820051
"Jamia Millia Islamia,New Delhi",83.41,65.52,12,93.41,65.24341164639546,68.91914644078506,11.89992070422669,15.254652959422918
Jadavpur University,56.79,64.3,13,66.78999999999999,64.78224831311896,62.66961540087708,12.421505501626172,12.302299349001654
Indian Institute of Technology Hyderabad,59.03,64.24,14,69.03,63.62290587673115,63.70120457845738,13.493135043658782,11.768119377027789
Amrita Vishwa Vidyapeetham,72.47,62.74,15,82.47,63.125621480128174,66.37302518435128,15.031059057056403,17.15177411950753
Manipal Academy of Higher Education-Manipal,66.1,62.71,16,76.1,62.347126457458714,65.18694299334186,16.048716320957997,13.016532662091173
Vellore Institute of Technology,62.55,62.7,17,72.55,62.63737212582353,64.7236008914308,17.003340751434607,13.252842891759068
Anna University,50.29,62.36,18,60.29,62.64319218016091,65.70499798702043,18.087544481480982,15.437597928514807
Aligarh Muslim University,60.04,62.27,19,70.03999999999999,63.00056408591639,63.230036097681555,16.986802791046014,17.942621097082124
University of Hyderabad,66.58,60.49,20,76.58,60.57952783207995,61.361155791142814,20.150026394141534,17.369273448647203
