Name,PERCEPTION (100),Score,Rank,New_PERCEPTION (100),Pred_Score,Pred_New_Score,Pred_Rank,Pred_New_Rank
Indian Institute of Technology Madras,100.0,86.69,1,100.0,88.04088047806049,88.04088047806049,1.2314183392519773,1.2314183392519773
Indian Institute of Science,97.94,83.09,2,100.0,83.13411544019654,83.36976571237794,2.6171259610414705,2.4983655076106315
Indian Institute of Technology Delhi,90.98,82.16,3,100.0,81.97831276258107,83.76253397383495,2.769320446427265,2.167895434366718
Indian Institute of Technology Bombay,84.98,81.28,4,94.98,81.78403879181529,82.17978445420302,3.3646269029970695,2.6678113677147115
Indian Institute of Technology Kanpur,69.84,77.23,5,79.84,78.89615318324536,80.24132919708897,7.365019309488264,6.622469792041487
"All India Institute of Medical Sciences, Delhi",75.23,72.14,6,85.23,72.3309423677712,74.76433620830461,6.070339623442631,5.902120912017966
Indian Institute of Technology Kharagpur,70.68,71.82,7,80.68,71.58431114644053,71.7976446586684,7.177028781332382,6.696412049119993
Indian Institute of Technology Roorkee,50.36,71.66,8,60.36,71.61832236300874,71.4475146596587,7.825070666596232,6.89062729162806
Indian Institute of Technology Guwahati,42.44,68.78,9,52.44,68.75922886642103,69.95601291900644,9.344846862013343,8.54537989538515
Jawaharlal Nehru University,50.73,67.44,10,60.73,67.59466849877226,68.22437237088228,10.05487830916488,9.778364630467518
Banaras Hindu University,45.43,67.21,11,55.43,69.48423453389657,69.83761654769351,12.976583031180349,12.257797572256134
"Jamia Millia Islamia,New Delhi",26.4,65.52,12,36.4,65.24341164639546,66.24967722768088,11.89992070422669,9.596827816278555
Jadavpur University,41.08,64.3,13,51.08,64.78224831311896,64.4644460705049,12.421505501626172,11.164858701592983
Indian Institute of Technology Hyderabad,48.36,64.24,14,58.36,63.62290587673115,63.17205760973137,13.493135043658782,12.78489998581535
Amrita Vishwa Vidyapeetham,35.71,62.74,15,45.71,63.125621480128174,63.346602257922214,15.031059057056403,14.67976731371812
Manipal Academy of Higher Education-Manipal,24.39,62.71,16,34.39,62.347126457458714,63.279210751723575,16.048716320957997,12.887233349857556
Vellore Institute of Technology,45.71,62.7,17,55.71,62.63737212582353,65.1928663840032,17.003340751434607,15.05430109893951
Anna University,62.67,62.36,18,72.67,62.64319218016091,65.90101486836178,18.087544481480982,16.65430547344802
Aligarh Muslim University,26.4,62.27,19,36.4,63.00056408591639,64.06643975810502,16.986802791046014,15.473559643863979
University of Hyderabad,26.83,60.49,20,36.83,60.57952783207995,59.709093750178354,20.150026394141534,17.263047480815274
