Name,RPC (100),Score,Rank,New_RPC,Pred_Score,Pred_New_Score,Pred_Rank,Pred_New_Rank
Indian Institute of Technology Madras,89.88,86.69,1,99.88,88.04088047806049,91.17692970480942,1.2314183392519773,0.18037464473643328
Indian Institute of Science,88.45,83.09,2,98.45,83.13411544019654,86.73264280912971,2.6171259610414705,1.6151579429792888
Indian Institute of Technology Delhi,85.23,82.16,3,95.23,81.97831276258107,84.72403880703675,2.769320446427265,1.7099155568412718
Indian Institute of Technology Bombay,86.14,81.28,4,96.14,81.78403879181529,84.87912931470686,3.3646269029970695,1.8271115627425818
Indian Institute of Technology Kanpur,72.94,77.23,5,82.94,78.89615318324536,81.34898924521158,7.365019309488264,5.149879679120963
"All India Institute of Medical Sciences, Delhi",67.75,72.14,6,77.75,72.3309423677712,75.19043648986629,6.070339623442631,4.272307982939545
Indian Institute of Technology Kharagpur,72.25,71.82,7,82.25,71.58431114644053,74.51125409466835,7.177028781332382,5.805504364092672
Indian Institute of Technology Roorkee,68.0,71.66,8,78.0,71.61832236300874,74.21750841434883,7.825070666596232,5.946425145214334
Indian Institute of Technology Guwahati,66.98,68.78,9,76.98,68.75922886642103,71.81074725284583,9.344846862013343,8.035413281106408
Jawaharlal Nehru University,46.56,67.44,10,56.56,67.59466849877226,71.26596800849943,10.05487830916488,5.857536130762088
Banaras Hindu University,49.18,67.21,11,59.18,69.48423453389657,71.82417144126134,12.976583031180349,8.963754022470443
"Jamia Millia Islamia,New Delhi",49.83,65.52,12,59.83,65.24341164639546,68.80413825080181,11.89992070422669,6.777847098682679
Jadavpur University,53.66,64.3,13,63.66,64.78224831311896,67.31393941667785,12.421505501626172,9.498344217474193
Indian Institute of Technology Hyderabad,55.13,64.24,14,65.13,63.62290587673115,67.57713361347707,13.493135043658782,10.942565485849594
Amrita Vishwa Vidyapeetham,50.35,62.74,15,60.35,63.125621480128174,65.83647636177041,15.031059057056403,9.182051631219661
Manipal Academy of Higher Education-Manipal,54.02,62.71,16,64.02000000000001,62.347126457458714,65.4026001050352,16.048716320957997,13.01036693238786
Vellore Institute of Technology,63.59,62.7,17,73.59,62.63737212582353,64.62671026663124,17.003340751434607,15.221973564467389
Anna University,64.24,62.36,18,74.24,62.64319218016091,65.74594428846223,18.087544481480982,15.041031408684194
Aligarh Muslim University,46.88,62.27,19,56.88,63.00056408591639,65.67132383811897,16.986802791046014,13.100078259356902
University of Hyderabad,44.54,60.49,20,54.54,60.57952783207995,63.63198388396992,20.150026394141534,15.027705329644071
